tenure,monthly_charges,support_tickets,usage,churn
63,1213,5,7,1
28,203,7,27,1
60,1062,6,8,1
37,1047,1,73,0
22,1003,4,28,0
68,1504,3,79,1
20,414,8,66,1
68,1171,9,71,1
64,1833,0,47,1
17,1643,5,82,1
12,300,2,86,0
22,1162,8,10,1
17,1744,4,33,1
10,772,5,7,1
65,1532,8,3,1
22,857,8,14,1
50,1138,7,44,1
14,1733,8,46,1
64,1286,3,61,0
47,1856,5,36,1
29,425,4,13,1
36,304,4,16,1
52,971,3,80,0
7,1648,1,5,1
29,1478,5,89,0
11,628,8,38,1
33,633,0,50,0
6,1430,6,38,1
32,1251,5,56,0
51,881,2,63,0
58,1559,0,48,1
26,787,3,90,0
46,1851,8,59,1
29,1292,1,77,0
4,1065,2,44,0
13,945,1,90,0
39,1736,1,55,1
15,1390,9,55,1
29,1063,7,1,1
29,1953,2,8,1
32,567,6,4,1
2,450,7,85,1
47,1058,2,86,0
22,1055,1,53,0
27,1909,7,58,1
67,1393,2,37,0
56,1981,6,49,1
21,1313,0,67,0
47,760,5,19,1
59,1669,8,1,1
6,493,2,29,0
19,1118,6,87,1
57,1373,5,33,0
69,1355,7,52,1
3,632,2,41,0
1,258,2,23,0
58,1168,3,5,1
38,1035,2,71,0
15,398,8,57,1
34,414,3,6,1
61,1097,5,49,0
35,1784,7,22,1
64,671,7,77,1
25,1967,4,76,1
24,446,4,4,1
12,581,5,72,0
18,1190,9,64,1
15,1462,6,37,1
27,1126,9,31,1
60,1590,6,37,1
46,1391,3,45,0
17,759,5,90,0
53,1274,6,8,1
8,1833,4,40,1
27,1951,4,97,1
46,888,1,93,0
50,579,6,5,1
71,673,5,28,0
3,1303,0,81,0
64,896,3,87,0
44,1590,2,9,1
53,1684,2,2,1
24,1110,6,63,1
60,1762,9,96,1
3,1675,3,51,1
20,1687,7,31,1
46,1159,8,7,1
15,677,2,30,0
25,1203,4,58,0
71,1125,3,3,1
17,1643,9,51,1
9,906,5,56,0
38,1437,9,73,1
48,1592,3,10,1
60,1053,7,61,1
63,1337,2,50,0
2,1216,4,47,0
11,953,0,90,0
64,702,5,1,1
21,1859,4,94,1
18,1016,7,57,1
64,787,8,38,1
38,1534,7,62,1
32,1692,7,79,1
11,907,2,89,0
45,1267,3,70,0
33,1638,3,82,1
41,1921,4,65,1
8,1469,8,62,1
11,1307,8,56,1
51,406,9,67,1
41,350,0,17,1
17,867,7,8,1
46,727,0,60,0
32,364,1,40,0
54,1116,6,81,1
20,1368,7,89,1
33,1209,0,62,0
40,236,2,41,0
32,532,6,12,1
2,602,8,93,1
33,613,7,89,1
30,244,7,54,1
33,1625,8,89,1
26,405,9,93,1
22,261,2,11,1
66,619,7,60,1
38,1067,0,68,0
46,1691,7,78,1
15,1019,6,46,1
44,218,7,38,1
49,564,0,61,0
61,1523,5,17,1
67,1230,6,66,1
6,1984,4,72,1
9,627,4,36,0
6,1340,6,74,1
32,779,2,7,1
41,1730,5,16,1
8,745,6,14,1
50,1929,0,80,1
62,524,1,25,0
62,254,3,4,1
7,977,7,29,1
4,1191,9,56,1
6,241,5,6,1
58,1520,0,1,1
22,430,9,39,1
26,652,4,1,1
3,593,6,63,1
41,1745,5,57,1
60,1581,8,67,1
14,1667,7,65,1
12,1351,3,65,0
12,890,4,21,0
13,1628,6,30,1
25,591,7,96,1
45,1416,4,33,0
19,803,8,48,1
55,1080,9,22,1
45,1966,3,94,1
8,1301,3,54,0
53,284,7,4,1
55,1253,0,87,0
32,1948,7,55,1
51,248,4,44,0
44,1368,0,89,0
70,268,3,12,1
18,1281,1,81,0
22,896,3,79,0
37,1797,7,74,1
56,678,4,99,0
59,1019,0,52,0
3,1668,6,93,1
28,1519,0,76,1
35,1901,8,65,1
61,1394,2,65,0
54,1798,2,10,1
63,346,5,18,1
7,1707,9,47,1
49,1529,5,66,1
31,1896,5,49,1
58,1876,0,72,1
61,1215,4,22,0
24,808,5,86,0
20,645,7,26,1
37,420,0,90,0
4,1778,4,9,1
20,1601,2,21,1
60,1843,1,95,1
24,1489,7,63,1
50,294,6,6,1
49,461,9,14,1
51,1096,6,33,1
36,1294,4,71,0
66,418,8,24,1
34,1756,4,73,1
36,291,1,75,0
6,326,2,87,0
39,279,3,51,0
42,1461,4,2,1
58,1182,2,15,1
12,1595,6,35,1
3,1115,4,36,0
18,685,4,92,0
40,893,5,39,0
21,224,6,4,1
15,355,9,64,1
26,1740,9,74,1
8,831,7,6,1
42,1753,8,57,1
44,1933,3,30,1
14,1280,4,99,0
2,1828,4,74,1
37,218,7,96,1
69,1607,8,67,1
38,1416,6,90,1
41,436,4,15,1
62,1610,2,17,1
60,1649,0,91,1
14,476,8,18,1
2,1450,4,19,1
70,944,8,76,1
17,751,9,88,1
28,1546,3,69,1
66,1376,4,24,0
35,838,3,91,0
5,436,1,48,0
65,1197,0,30,0
40,254,7,15,1
56,1659,3,47,1
36,883,4,44,0
45,308,5,98,0
23,1407,7,27,1
47,1591,7,84,1
31,1421,6,64,1
11,1594,3,41,1
10,572,5,96,0
67,1172,3,68,0
14,1720,6,5,1
10,1822,0,53,1
1,400,4,8,1
5,1048,9,22,1
20,708,9,7,1
8,1545,3,22,1
43,474,6,46,1
1,410,8,30,1
57,703,4,16,1
64,1341,3,79,0
28,902,8,5,1
37,1777,4,67,1
47,241,8,23,1
37,514,7,61,1
49,987,3,74,0
44,528,6,5,1
56,1240,4,23,0
28,482,9,79,1
6,1142,3,82,0
61,457,4,25,0
20,774,4,8,1
2,773,8,95,1
37,811,8,21,1
20,1242,5,2,1
26,1752,3,22,1
29,1036,1,72,0
1,622,2,87,0
35,1689,1,96,1
70,1596,4,72,1
59,957,5,68,0
69,962,4,64,0
33,1304,1,94,0
51,1774,4,19,1
12,1771,8,87,1
20,623,3,82,0
53,628,9,53,1
43,1611,1,93,1
50,1932,2,87,1
29,1893,2,97,1
57,403,8,52,1
39,395,3,47,0
56,927,0,82,0
43,484,0,54,0
50,395,6,44,1
23,506,6,97,1
44,1887,1,7,1
38,213,8,92,1
23,1369,8,1,1
45,1280,4,63,0
52,922,2,98,0
50,979,2,39,0
8,1433,2,19,1
1,728,5,31,0
8,997,3,77,0
29,543,7,24,1
5,1938,4,69,1
47,1834,0,87,1
34,1502,8,83,1
65,408,0,65,0
55,840,5,33,0
43,1558,0,59,1
30,1511,2,33,1
17,451,9,32,1
26,1488,4,59,0
8,470,9,92,1
47,1119,6,41,1
46,1923,9,12,1
68,618,7,73,1
33,1949,8,11,1
1,994,5,97,0
19,1434,8,19,1
31,1588,7,54,1
14,1299,8,57,1
53,1883,9,42,1
48,1544,3,98,1
69,924,8,71,1
62,632,6,31,1
66,308,4,52,0
64,840,4,2,1
70,1745,0,83,1
63,1270,1,38,0
33,578,9,32,1
41,1319,2,10,1
48,1157,7,8,1
13,302,5,90,0
31,1091,9,94,1
68,1053,4,75,0
4,1369,0,20,0
19,1250,8,20,1
70,1955,2,9,1
13,729,2,72,0
23,878,1,15,1
1,1188,3,98,0
54,1305,1,88,0
71,627,8,97,1
15,1807,9,63,1
65,1021,6,91,1
71,1702,7,21,1
15,1989,2,5,1
21,1385,5,35,0
19,1131,9,85,1
60,1625,5,68,1
33,1731,0,48,1
49,1261,5,80,0
35,710,2,95,0
44,592,2,90,0
11,912,2,62,0
66,693,9,35,1
46,1423,9,70,1
9,1478,7,97,1
3,1402,4,21,0
26,746,3,80,0
48,793,8,39,1
66,588,8,34,1
70,1621,0,15,1
28,1955,1,6,1
26,357,7,66,1
25,1227,4,88,0
12,366,6,56,1
5,1691,0,49,1
48,1159,9,92,1
37,608,4,1,1
44,1635,2,65,1
15,1427,9,28,1
43,393,1,20,0
48,434,1,48,0
70,917,8,72,1
46,1373,3,65,0
43,1382,3,90,0
21,1502,6,51,1
23,1015,9,43,1
47,603,9,49,1
15,1092,1,25,0
25,877,2,74,0
36,1534,2,76,1
51,267,5,41,0
15,1686,2,71,1
68,287,4,64,0
21,416,3,61,0
13,200,2,12,1
19,1358,7,81,1
34,1920,9,69,1
68,1574,2,14,1
52,339,5,34,0
27,817,6,48,1
29,332,6,61,1
28,1843,1,81,1
35,377,2,35,0
8,1009,9,65,1
16,1581,9,59,1
36,579,3,36,0
30,1107,6,79,1
18,857,1,19,1
2,649,2,42,0
49,785,6,69,1
4,662,6,19,1
7,1189,9,39,1
39,1331,2,69,0
13,321,0,52,0
31,216,2,12,1
71,1419,4,83,0
63,526,6,47,1
56,517,3,76,0
42,1008,0,36,0
61,1702,5,63,1
42,1475,1,76,0
56,702,2,82,0
36,318,3,51,0
68,1897,5,43,1
7,909,5,34,0
54,1721,6,97,1
1,1709,4,49,1
44,244,6,18,1
45,513,1,61,0
47,1402,0,57,0
13,617,9,93,1
22,755,7,5,1
21,1301,0,89,0
9,525,1,24,0
26,1913,9,93,1
9,1580,5,64,1
15,1639,0,59,1
10,714,9,38,1
42,413,2,33,0
24,273,6,10,1
49,1786,7,37,1
26,1802,3,97,1
37,708,2,87,0
68,531,0,11,1
50,1316,8,24,1
24,887,9,88,1
19,856,5,71,0
60,1742,5,21,1
39,1492,8,20,1
18,1599,0,10,1
19,1227,5,89,0
36,1361,4,47,0
55,1454,5,47,0
69,799,7,15,1
47,1752,4,44,1
49,1275,1,62,0
33,1869,1,6,1
21,1946,9,66,1
22,524,4,76,0
48,1191,2,4,1
37,1954,9,23,1
15,916,2,13,1
35,922,7,81,1
71,476,6,31,1
32,735,0,16,1
11,1709,4,41,1
10,1739,8,90,1
57,351,3,92,0
25,1154,0,1,1
2,1706,7,12,1
64,458,4,56,0
35,523,1,50,0
7,1216,0,20,0
18,1068,2,66,0
67,1391,8,36,1
42,887,0,79,0
39,509,3,38,0
41,1002,7,22,1
24,1702,7,61,1
60,1279,9,50,1
46,819,7,96,1
19,672,9,59,1
68,1519,7,20,1
42,660,3,36,0
32,1547,7,97,1
39,1013,8,15,1
36,1045,6,62,1
36,1364,1,3,1
3,866,8,93,1
8,461,7,91,1
70,1643,4,5,1
41,1967,2,56,1
68,1464,6,31,1
13,554,1,86,0
49,969,2,35,0
60,1984,8,71,1
2,1812,3,70,1
60,379,3,26,0
5,265,2,1,1
44,1019,4,83,0
27,1571,2,7,1
32,370,8,36,1
21,673,2,76,0
8,733,1,84,0
50,1590,4,87,1
67,1330,5,25,0
44,638,0,94,0
58,1034,5,59,0
3,426,9,61,1
70,1667,2,29,1
2,641,3,95,0
44,595,5,18,1
2,927,7,41,1
35,1804,8,19,1
30,283,5,4,1
8,1838,6,65,1
22,1774,4,41,1
44,1236,8,15,1
58,892,3,54,0
36,692,9,64,1
69,1491,5,72,0
31,1748,4,15,1
47,1343,0,79,0
55,1169,4,50,0
62,552,4,22,0
30,1280,8,18,1
55,239,0,80,0
16,1559,4,2,1
12,839,6,36,1
17,372,5,20,0
16,1770,5,16,1
12,458,6,67,1
8,716,5,30,0
3,929,4,55,0
16,722,9,66,1
30,1038,4,99,0
23,316,8,26,1
5,383,7,57,1
65,1339,9,69,1
30,361,3,2,1
21,1802,3,56,1
70,1935,9,84,1
22,742,4,62,0
32,1810,2,34,1
33,1460,7,98,1
16,1038,6,56,1
38,1289,4,55,0
14,1293,9,20,1
36,646,2,50,0
23,615,4,25,0
66,731,2,84,0
2,640,9,25,1
65,937,4,53,0
67,663,0,14,1
52,595,5,60,0
62,910,9,43,1
23,1774,3,62,1
26,1880,3,76,1
68,1780,7,69,1
55,594,1,63,0
6,525,3,2,1
35,1314,1,54,0
22,949,0,16,1
43,1293,9,55,1
15,1389,2,94,0
60,841,7,43,1
12,413,5,61,0
49,1824,6,38,1
42,1558,1,45,1
38,1987,5,51,1
45,568,7,42,1
35,1807,7,24,1
30,1900,3,30,1
30,248,5,37,0
6,1275,4,53,0
67,1512,8,63,1
7,1849,7,11,1
52,1462,1,78,0
14,332,6,23,1
15,1198,6,80,1
21,985,0,50,0
35,1389,0,85,0
66,1597,3,55,1
2,572,4,55,0
35,1701,3,4,1
20,1978,6,97,1
10,678,2,54,0
25,1031,6,61,1
66,849,7,78,1
25,1814,5,83,1
54,881,5,5,1
33,1858,7,95,1
36,887,7,18,1
14,1523,6,44,1
65,281,5,31,0
54,286,5,94,0
52,424,9,21,1
3,215,5,47,0
41,1021,7,30,1
6,1581,0,55,1
25,362,4,68,0
13,1833,2,69,1
8,1891,7,41,1
21,713,5,45,0
68,549,1,74,0
25,880,6,91,1
68,1687,6,80,1
45,1598,4,30,1
60,1315,7,77,1
12,380,4,85,0
32,942,0,45,0
13,1524,8,45,1
31,859,3,79,0
20,1412,1,84,0
18,1537,3,84,1
60,692,8,45,1
63,1122,1,55,0
6,327,3,59,0
32,1742,1,5,1
43,1649,4,32,1
2,1782,2,6,1
60,764,9,94,1
23,1410,1,26,0
31,749,8,37,1
5,652,4,13,1
34,670,9,93,1
10,1187,4,69,0
2,937,0,25,0
11,1788,5,13,1
50,423,6,88,1
31,353,0,95,0
56,759,8,20,1
9,550,7,72,1
21,1370,7,60,1
28,1799,6,73,1
62,548,4,21,0
7,381,2,61,0
16,836,8,84,1
4,1217,6,79,1
4,378,9,26,1
40,1262,9,54,1
17,971,7,42,1
52,1093,5,11,1
52,1226,4,37,0
36,1215,7,11,1
38,263,2,27,0
50,228,6,94,1
63,571,1,83,0
63,1746,2,34,1
62,296,1,38,0
7,1665,4,61,1
27,1426,6,87,1
14,1634,9,53,1
71,1192,9,65,1
5,220,0,3,1
55,1774,9,67,1
2,934,8,28,1
62,1325,0,14,1
21,1269,0,52,0
21,265,9,30,1
10,802,7,58,1
58,1387,5,54,0
39,1334,5,69,0
5,537,8,15,1
65,322,3,38,0
13,1928,7,78,1
53,646,3,14,1
45,810,1,57,0
32,1514,7,59,1
36,870,6,8,1
60,1635,3,72,1
11,814,8,19,1
63,1096,8,32,1
21,480,7,95,1
52,1266,0,29,0
55,1709,6,41,1
26,795,4,75,0
68,902,6,45,1
34,1274,8,13,1
52,409,1,27,0
52,325,3,19,1
29,691,3,26,0
38,1732,1,53,1
42,1159,2,51,0
21,1169,7,37,1
42,780,8,9,1
13,976,5,92,0
64,457,9,96,1
17,1411,1,52,0
9,429,1,54,0
41,388,6,3,1
1,1638,7,96,1
2,209,7,69,1
60,1337,5,8,1
48,1299,9,14,1
29,875,7,3,1
10,701,0,24,0
58,284,8,13,1
60,248,0,43,0
21,1718,2,29,1
28,1037,8,72,1
34,1207,4,51,0
8,888,8,42,1
59,586,8,31,1
49,1169,5,63,0
17,1612,0,26,1
60,1205,9,18,1
45,417,6,82,1
69,1924,5,57,1
32,1204,8,7,1
44,1569,6,48,1
65,1453,3,80,0
8,454,6,60,1
43,435,1,33,0
1,1249,5,3,1
51,1807,5,4,1
24,1484,1,4,1
24,1989,3,42,1
17,470,7,9,1
5,322,7,51,1
20,855,7,17,1
21,1480,7,17,1
58,1879,0,97,1
31,1644,1,20,1
11,458,3,14,1
52,1147,8,22,1
15,246,2,52,0
7,1062,5,27,0
28,724,6,43,1
51,1087,7,3,1
58,407,6,88,1
5,1534,2,94,1
5,946,5,8,1
8,348,4,86,0
64,637,9,89,1
10,354,3,10,1
38,1901,0,29,1
8,1313,6,40,1
25,1921,7,65,1
66,557,1,21,0
50,1397,6,24,1
67,1440,5,73,0
49,655,4,60,0
36,975,3,26,0
68,1832,1,9,1
41,828,9,20,1
62,1422,5,56,0
10,1031,4,99,0
21,685,1,36,0
36,732,9,36,1
12,399,6,73,1
2,570,5,22,0
13,1213,8,1,1
53,1052,9,69,1
32,1671,4,73,1
16,447,8,37,1
32,987,8,83,1
32,463,0,72,0
11,1281,4,96,0
10,1525,8,13,1
15,230,6,84,1
17,1721,5,43,1
40,1472,5,37,0
18,804,6,94,1
55,1494,0,74,0
25,1829,3,95,1
59,1889,0,25,1
22,1617,5,93,1
30,701,3,88,0
44,1815,0,21,1
32,1307,8,41,1
51,1588,3,73,1
46,1085,5,42,0
21,748,6,42,1
32,1565,7,2,1
39,1038,8,68,1
12,1630,8,8,1
47,1648,7,96,1
18,1967,9,61,1
21,1316,2,14,1
13,1047,1,77,0
21,813,4,21,0
8,611,0,24,0
46,631,2,50,0
7,877,0,82,0
23,358,2,45,0
22,213,3,64,0
22,572,6,64,1
29,424,4,26,0
13,1728,4,32,1
2,1296,0,57,0
29,1472,7,53,1
52,710,3,33,0
27,802,9,52,1
50,415,4,95,0
23,1825,1,18,1
44,1764,0,35,1
22,1187,8,12,1
43,1443,1,51,0
37,1039,5,89,0
61,926,0,95,0
56,1444,0,10,1
3,1612,8,52,1
63,753,3,34,0
19,1870,8,67,1
23,1265,4,39,0
29,875,6,8,1
30,1072,0,96,0
39,482,5,29,0
25,1281,7,22,1
8,1033,0,84,0
58,736,8,70,1
16,1296,2,61,0
1,1122,0,43,0
5,1352,0,49,0
3,1822,5,29,1
65,1041,5,81,0
4,1649,0,31,1
64,1147,2,53,0
10,864,6,34,1
21,1917,9,38,1
46,1348,2,57,0
27,266,2,4,1
66,205,2,2,1
41,836,6,12,1
13,513,3,35,0
9,1549,3,70,1
36,764,2,72,0
58,1801,9,21,1
54,1025,8,61,1
12,705,1,35,0
14,1305,3,48,0
34,1822,7,15,1
53,1225,5,71,0
20,403,6,15,1
16,861,6,6,1
70,1004,1,81,0
56,603,3,68,0
58,1326,9,22,1
4,735,9,32,1
4,1591,5,22,1
20,1435,2,27,0
10,776,8,15,1
24,1432,3,44,0
26,962,9,86,1
37,316,1,92,0
54,827,5,9,1
21,948,0,34,0
38,1701,5,73,1
46,304,9,15,1
4,694,0,62,0
60,1994,7,45,1
57,245,4,84,0
45,1022,5,72,0
20,1554,1,58,1
17,1439,1,92,0
71,1181,8,19,1
4,1159,2,16,1
14,1715,5,75,1
3,1044,9,8,1
58,648,4,33,0
55,735,3,74,0
4,710,9,18,1
24,1681,1,35,1
34,1770,7,43,1
30,1759,9,50,1
19,739,6,3,1
31,1707,1,91,1
60,215,5,59,0
60,1794,7,28,1
19,442,6,46,1
49,1430,0,64,0
63,1111,4,70,0
22,1494,1,47,0
24,960,5,14,1
30,904,6,7,1
58,1953,6,74,1
31,314,2,79,0
64,1803,6,31,1
19,1522,4,93,1
48,1706,7,81,1
45,596,7,51,1
55,593,6,29,1
55,1298,5,15,1
18,1177,1,90,0
63,1705,5,76,1
47,1326,8,25,1
57,496,1,61,0
45,1201,0,41,0
33,377,4,69,0
17,1438,5,4,1
70,1166,2,57,0
4,514,7,31,1
20,1262,6,3,1
47,458,1,67,0
15,1939,6,90,1
70,206,0,50,0
47,248,8,17,1
9,1761,6,60,1
16,360,5,74,0
69,375,1,66,0
61,1814,2,88,1
10,1225,0,75,0
50,1200,9,24,1
3,654,4,99,0
70,1867,8,87,1
51,475,5,32,0
19,697,4,87,0
42,1852,2,98,1
35,875,4,19,1
46,1251,7,66,1
26,1556,1,60,1
69,1224,4,66,0
64,1411,5,15,1
37,255,9,85,1
49,746,7,35,1
21,1335,7,69,1
64,1533,4,27,1
5,235,8,88,1
70,638,3,7,1
4,1952,8,6,1
39,1815,6,33,1
35,794,5,58,0
1,1800,3,49,1
24,1548,1,17,1
57,1863,7,42,1
70,506,5,94,0
41,1757,2,72,1
54,1951,6,40,1
46,818,9,46,1
60,1332,6,71,1
60,1595,5,70,1
57,556,1,68,0
31,380,7,1,1
24,1579,0,79,1
36,1899,0,95,1
30,267,5,89,0
24,491,4,97,0
30,891,8,52,1
7,380,6,35,1
35,1689,1,69,1
55,633,6,5,1
14,1687,2,17,1
10,1904,0,53,1
16,1113,7,52,1
54,1757,2,14,1
70,265,7,29,1
44,1244,6,8,1
45,1835,1,98,1
56,583,0,1,1
57,1838,6,29,1
21,1782,0,36,1
68,238,5,51,0
50,1508,9,37,1
33,1021,9,93,1
7,801,7,69,1
70,1820,6,53,1
15,984,3,96,0
32,1559,0,52,1
20,1411,0,88,0
15,870,3,83,0
48,1466,4,12,1
71,1296,6,52,1
21,678,3,1,1
42,760,9,7,1
26,300,0,17,1
14,713,9,98,1
57,1979,6,43,1
37,375,1,71,0
58,437,1,17,1
21,1109,7,59,1
69,1282,9,3,1
3,1322,9,29,1
37,1070,9,22,1
49,694,4,38,0
19,1146,9,54,1
12,1737,1,93,1
61,954,4,50,0
41,1520,7,69,1
33,410,5,30,0
50,1346,2,23,0
68,1452,7,85,1
71,1817,8,90,1
33,1879,4,47,1
24,1611,1,21,1
61,339,1,20,0
61,740,6,23,1
28,1614,0,68,1
58,469,9,21,1
43,1982,1,21,1
41,1235,9,1,1
39,1612,3,15,1
49,1560,0,17,1
17,705,3,51,0
70,1329,9,63,1
70,231,4,14,1
65,1297,8,59,1
5,1394,0,83,0
2,1292,4,50,0
22,1012,1,34,0
57,561,8,6,1
66,1872,5,49,1
16,1656,1,6,1
51,1128,2,69,0
39,299,7,7,1
40,1881,0,97,1
38,208,2,77,0
60,1797,9,51,1
59,896,0,1,1
10,1252,7,13,1
64,1337,0,43,0
63,661,4,27,0
49,1120,3,71,0
64,1366,6,3,1
32,589,4,58,0
7,831,7,89,1
21,881,0,97,0
20,356,4,17,1
26,534,3,45,0
68,459,2,78,0
15,281,4,58,0
14,953,9,56,1
27,1664,2,54,1
40,1395,7,87,1
58,1454,2,88,0
28,919,0,29,0
26,274,8,54,1
63,1493,8,27,1
66,825,5,45,0
25,261,9,87,1
3,1073,0,31,0
44,519,7,36,1
42,301,1,81,0
6,1652,8,61,1
39,1073,7,37,1
52,1945,2,67,1
23,1153,4,36,0
50,454,8,5,1
43,1755,0,46,1
19,769,8,79,1
69,311,3,52,0
51,1184,3,49,0
11,1536,3,6,1
12,1197,9,10,1
8,660,8,96,1
24,907,5,23,0
41,1086,7,17,1
36,1685,3,84,1
55,1315,2,44,0
9,1275,0,41,0
47,719,9,15,1
15,1011,6,44,1
48,1321,3,58,0
42,435,7,86,1
60,1597,2,50,1
70,1804,0,52,1
12,1126,4,70,0
2,756,1,68,0
7,848,2,63,0
3,433,5,58,0
3,1255,2,23,0
27,1512,2,44,1
40,1861,5,83,1
33,778,4,95,0
1,741,9,44,1
8,313,8,52,1
32,403,0,67,0
48,1252,2,28,0
4,842,2,67,0
70,673,5,78,0
19,896,7,18,1
32,452,2,27,0
9,1104,2,51,0
12,585,5,60,0
11,261,7,74,1
46,714,5,49,0
16,629,9,15,1
1,779,2,83,0
63,1760,3,73,1
21,1914,0,68,1
30,1364,7,15,1
13,942,3,51,0
34,1523,5,48,1
4,874,2,72,0
28,510,5,1,1
59,670,8,7,1
27,1616,8,53,1
69,1865,9,31,1
25,1668,2,18,1
3,1981,2,12,1
68,1008,3,48,0
25,371,6,30,1
20,775,2,97,0
34,230,9,7,1
26,246,7,92,1
5,329,7,3,1
61,551,5,63,0
9,1177,3,6,1
50,1845,4,95,1
6,1804,1,15,1
60,257,5,71,0
44,1329,2,43,0
11,1011,5,94,0
66,1553,4,91,1
47,967,1,81,0
3,882,4,18,1
30,1606,4,22,1
21,1385,8,61,1
28,1196,7,61,1
62,485,6,53,1
33,1294,2,26,0
35,1990,9,91,1
52,1677,3,40,1
34,1085,5,88,0
41,1790,2,8,1
51,596,8,21,1
47,1738,7,93,1
58,225,5,43,0
57,512,3,21,0
23,325,6,3,1
48,1631,2,31,1
22,1788,9,27,1
17,1421,7,27,1
69,1010,0,73,0
11,387,2,57,0
15,897,4,97,0
35,1009,4,33,0
33,915,9,90,1
16,1707,1,92,1
34,649,9,44,1
66,722,7,43,1
40,1577,4,31,1
28,1185,6,65,1
47,857,6,84,1
39,796,4,76,0
70,299,7,17,1
20,815,8,15,1
1,1147,3,34,0
63,1781,3,80,1
67,755,7,4,1
4,477,0,72,0
58,1916,3,98,1
25,1922,5,89,1
47,1849,3,79,1
38,690,5,28,0
15,454,4,73,0
63,580,8,2,1
21,1091,9,17,1
57,741,8,58,1
53,1487,3,74,0
46,1833,3,9,1
14,1024,7,31,1
17,1078,9,66,1
39,1552,3,88,1
9,1338,1,62,0
6,1499,1,19,1
23,1711,0,81,1
59,480,4,74,0
46,1498,5,55,0
38,972,8,28,1
14,1042,4,92,0
62,918,5,50,0
35,527,5,65,0
19,410,2,3,1
30,926,3,79,0
25,1122,0,52,0
40,751,3,10,1
14,225,0,21,0
26,226,4,37,0
22,901,7,15,1
48,1306,7,87,1
51,881,4,78,0
3,612,9,79,1
42,366,1,74,0
19,1923,5,9,1
28,368,0,44,0
45,428,6,39,1
71,1832,3,5,1
63,566,4,25,0
19,727,5,56,0
47,990,0,90,0
14,1870,8,64,1
38,1761,9,72,1
53,723,3,86,0
61,1295,7,52,1
36,1868,4,89,1
40,305,7,76,1
30,931,0,9,1
9,1164,7,10,1
64,1912,3,10,1
33,1505,1,73,1
52,332,5,62,0
14,733,1,90,0
53,1174,4,99,0
59,468,1,91,0
41,1635,2,60,1
68,872,5,95,0
68,1842,0,19,1
8,990,5,38,0
2,1970,2,6,1
41,217,6,15,1
55,1977,1,93,1
16,316,5,47,0
62,997,7,45,1
48,1367,0,5,1
30,1940,8,78,1
12,750,4,53,0
35,1128,4,66,0
11,1889,4,62,1
64,1911,5,23,1
50,952,1,44,0
21,621,5,52,0
69,1592,3,46,1
48,845,7,19,1
20,757,8,88,1
67,249,8,84,1
44,877,7,47,1
33,305,2,91,0
61,1439,9,52,1
9,857,3,24,0
68,1648,0,17,1
35,1295,8,89,1
65,1187,4,46,0
8,1041,5,64,0
45,1982,2,95,1
47,645,9,28,1
40,1409,7,50,1
54,269,6,64,1
46,349,0,28,0
47,1469,9,86,1
15,973,4,56,0
19,1761,9,59,1
26,1875,8,5,1
52,1322,5,54,0
22,1501,7,44,1
21,1786,9,42,1
51,1886,0,72,1
38,1143,9,92,1
20,654,6,57,1
29,1327,2,47,0
51,1145,8,76,1
4,800,5,25,0
55,852,4,44,0
71,924,7,15,1
28,432,7,51,1
4,1617,2,53,1
22,1724,1,34,1
45,1918,1,77,1
67,450,4,8,1
66,1744,9,77,1
34,278,6,70,1
55,1275,7,96,1
1,1097,9,21,1
38,1120,7,7,1
6,980,7,90,1
25,425,9,79,1
17,1274,2,56,0
61,1409,1,49,0
12,1257,3,42,0
6,1002,0,23,0
27,941,2,52,0
8,330,8,79,1
65,1222,6,53,1
57,831,6,16,1
40,1666,0,96,1
14,1037,6,37,1
35,958,9,18,1
48,1655,6,20,1
56,903,3,46,0
49,696,6,2,1
13,1626,7,87,1
61,522,2,94,0
49,1433,9,63,1
46,814,1,3,1
62,528,6,46,1
8,1595,4,49,1
43,1683,4,1,1
20,332,4,22,0
39,1034,6,93,1
49,850,8,14,1
64,320,7,92,1
62,805,5,85,0
54,1675,6,45,1
9,1164,8,96,1
37,328,5,6,1
49,1314,0,65,0
41,1827,3,21,1
17,1798,7,4,1
21,228,6,3,1
51,921,2,30,0
59,1747,9,31,1
39,532,2,34,0
55,1520,2,83,1
41,1353,0,20,0
39,1516,9,87,1
13,1396,0,54,0
64,1943,5,25,1
11,1143,0,15,1
19,1247,4,38,0
11,1322,3,23,0
46,1629,4,52,1
45,555,6,66,1
1,338,5,57,0
40,1726,8,57,1
19,1397,5,79,0
61,228,8,52,1
12,1130,3,35,0
61,695,0,74,0
33,1213,0,14,1
45,854,9,91,1
69,1027,6,14,1
8,550,2,99,0
25,753,1,33,0
46,498,5,52,0
30,1943,5,1,1
47,1415,6,34,1
49,1895,4,19,1
47,263,7,24,1
18,954,6,4,1
66,969,1,36,0
68,1887,0,77,1
33,1438,8,58,1
36,1033,4,32,0
19,365,4,9,1
28,1766,9,80,1
40,1455,3,67,0
15,1764,1,20,1
41,1418,4,74,0
39,705,1,62,0
2,1557,6,58,1
63,1991,8,22,1
29,992,8,67,1
66,1527,5,75,1
51,1032,0,89,0
10,1660,5,48,1
14,1546,4,8,1
51,1725,3,73,1
39,1057,5,15,1
28,1616,5,32,1
3,1005,5,53,0
